Column1,Company,Description,number of samples,Category,Pt,Pd,Rh,Weight,Analysis#
253,Audi,cyl. w/ sensor on end,2,3,154,1525,286,0.76,
255,Audi,beak,2,1,135,3035,186,0.96,576
319,Audi,Moon,1,2,320,3957,242,1.27,54
382,Audi,beak 377,1,1,208,3275,212,0.96,377
394,Audi,Pre 4 bolts,1,3,325,5285,357,0.331,656
52,Audi ,Fat,1,2,232,3600,219,1.277,166
53,Audi ,Fat,2,2,237,3390,202,1.287,253
83,Audi ,Tri,4,1,101,4147,284,0.9,263
17,BMW,Cylinder,1,2,412,1770,336,0.985,155
18,BMW,Cylinder,1,2,0,2315,351,0.956,334
439,BMW,long cigar,1,2,176,3380,204,1.819,128
278,Chrysler ,center sensor,1,5,604,2532,457,1.395,909
345,Chrysler ,Medium,1,4,622,22,110,1.71,265
346,Chrysler ,center sensor 2,1,5,785,1133,348,1.31,35
431,Chrysler ,half/half w/ sensor,1,2,604,2532,457,1.395,909
432,Chrysler ,half/half w/ sensor,1,2,785,1133,348,1.31,35
13,Citroen,Partner,2,2,4255,0,0,1.218,257
14,Citroen,Partner ,3,2,3885,988,0,1.23,495
15,Citroen,Partner large,1,2,5503,0,0,1.4,550
46,Citroen,Xiarra,5,3,401,0,0,0.9634,150
107,Citroen,Wide Flat,3,2,3382,0,0,1.62,206
120,Citroen,like Berlingo,2,1,369,1754,337,0.763,198
134,Citroen,C5,5,1,1281,1228,588,1.075,274
203,Citroen,Berlingo,1,3,538,0,0,0.921,17
204,Citroen,Berlingo,1,3,0,2368,240,0.698,42
234,Citroen,Jumpy,1,1,1062,0,0,1.016,109
273,Citroen,Partner K638,4,2,1400,900,0,0.96,919
274,Citroen,Partner K685,1,2,821,786,0,0.964,920
275,Citroen,Partner K578,1,2,2164,1044,0,0.975,921
450,Citroen,C5 bad,1,2,0,1730,309,0.846,383
79,Daihatsu,good,5,1,1420,2513,311,0.84,247
80,Daihatsu,bad,4,3,1450,0,312,0.77,248
86,Daihatsu,Cast Iron,1,3,515,33,101,0.6,215
109,Daihatsu, Manifold Sirion ,3,1,1841,706,1507,0.486,208
113,Daihatsu, Manifold Sirion ,1,1,1182,31,951,0.4917,132
309,Daihatsu ,good,3,,1414,3617,336,0.841,748
380,DK,KNO,1,1,0,10130,0,0.39,380
326,Fiat,Uno,5,3,0,1844,174,0.724,368
327,Fiat,Uno,1,3,78,2390,239,0.623,2
409,Fiat,Big cigar,1,2,4142,28,0,1.42,60
410,Fiat,Big cigar,2,2,3910,0,0,1.38,727
9,Fiat ,Ears,1,1,0,2255,469,1.1,99
16,Fiat ,Alfa Romeo long,1,2,2097,30,421,1.72,308
69,Fiat ,Lancia,5,1,0,1704,363,1.028,181
70,Fiat ,Lancia,1,1,0,1973,305,1.123,15
224,Fiat ,Punto,1,3,0,1907,210,0.975,90
228,Fiat ,Punto Spice,1,3,0,1690,240,0.934,101
236,Fiat ,w/o ears,1,3,498,21,0,0.875,111
88,Ford,manifold big,3,4,136,216,300,0.973,210
161,Ford,Transit,1,5,4362,20,0,1.44,269
165,Ford,Mazda,1,2,3867,0,9,1.58,629
199,Ford,Fiesta,1,4,0,2507,281,0.58,297
200,Ford,Fiesta small,1,3,12,940,225,0.57,595
292,Ford,brown cone 7T43 AA,3,4,12,1133,101,0.833,897
348,Ford,Mondeo,4,5,0,3060,305,1.25,262
408,Ford,cast,1,4,173,2850,178,0.899,47
422,Ford,Tri ,1,4,754,1347,298,0.871,68
423,Ford,Tri ,1,4,848,1375,319,0.9299,122
424,Ford,Tri ,5,4,936,1324,354,0.93,144
4,Ford ,Focus,10,4,0,3437,366,1.0586,121
5,Ford ,Focus,1,4,33,4762,392,1.057,67
25,Ford ,Pair,1,3,0,722,170,0.42,612
26,Ford ,Pair,1,3,0,642,151,0.42,640
60,Ford ,Filter ,1,,3669,1767,0,0.84,848
60,Ford ,Filter Carbide,1,5,0,0,0,2.889,848
7,GM,Opel Ears,1,1,0,1903,338,0.96,70
36,GM,Aveo,5,4,1296,829,429,0.685,256
37,GM,Aveo,1,4,2352,0,424,0.65,103
43,GM,Loaf,5,5,1174,0,88,1.556,164
47,GM,Cavalier USA,5,5,1799,1346,139,1.1046,151
64,GM,Manifold w/o stripes,1,4,34,3167,346,0.93,462
65,GM,Manifold w/o stripes,3,4,0,3230,340,0.93,660
82,GM,Half loaf,2,4,2070,0,358,0.79,260
112,GM,Daewoo Korea ,1,4,1280,34,127,1.0713,119
132,GM,Flow,2,5,129,3982,143,1.25,699
219,GM,Korea DAC 3 bolts,5,5,1416,0,362,1.164,286
290,GM, Like small loaf(Dmax),1,4,7,1597,479,0.997,895
293,GM,Round w/ hooked pipe 12656266,1,5,21,4055,509,0.927,898
294,GM,158 Round,1,4,13,448,156,0.608,899
304,GM,300 round hooked pipe,1,5,6,3896,287,1.013,882
310,GM,150,1,4,0,3247,223,0.753,749
312,GM,150,1,4,0,3575,244,0.751,756
376,GM,Chevy Silverado,1,2,2655,411,0,2.2,684
377,GM,Chevy Silverado,1,2,2638,430,0,2.08,724
378,GM,Chevy Silverado small,1,2,2361,3006,0,1.7,752
391,GM,Split S,1,5,0,3895,200,0.929,789
396,GM,Manifold w/ stripes,2,4,0,1239,344,1.027,515
405,GM,filter nob hook,1,5,1089,571,0,3.046,701
406,GM,filter nob hook,1,5,1315,685,0,3.095,845
407,GM,filter long hooked ,1,5,1461,629,3,2.88,831
437,GM,Malibu,2,4,58,3285,367,0.51,270
239,GM ,Big Round bad,2,4,0,1330,391,1.38,548
241,GM ,Big Round bad,1,4,16,1352,389,1.34,517
277,GM ,Opel 44 cyl. Like HF,1,2,10,9334,295,1.109,923
305,GM ,med1,2,4,0,4125,207,0.872,744
306,GM ,med2,2,4,0,4330,196,0.834,745
307,GM ,med long,4,4,0,3705,254,0.671,746
308,GM ,med4 knob,4,4,0,2258,309,1.37,747
313,GM ,Chevrolet large round,1,5,2361,3006,0,1.7,752
314,GM ,filter long hooked ,1,5,1273,616,0,2.45,753
334,GM ,Chevrolet large oval,1,5,1079,21,103,1.667,450
41,Honda,Civic,1,3,1013,27,219,0.862,94
42,Honda,Civic,10,3,1254,1415,307,0.548,163
77,Honda,7-8 sensor,1,2,833,13560,805,0.953,637
78,Honda,7-8 sensor,1,2,762,11587,760,1.024,716
201,Honda,manifold,1,3,673,1411,332,0.32,273
227,Honda,Spider,1,2,505,8240,536,0.585,100
381,Honda,Getz,4,3,673,1411,332,0.32,273
436,Honda,Civic Big w/ sensor,1,1,571,2450,582,0.8604,133
444,Honda,Civic Big w/ sensor,5,1,504,2485,541,0.861,384
283,Honda ,center sensor,1,2,1532,4217,671,0.893,912
347,Honda ,Civic good,1,1,397,6420,384,0.515,88
6,Hyundai,Getz AE,1,3,0,1955,373,0.6655,71
8,Hyundai,Elantra manifold,1,1,0,2032.5,375,1.117,72
108,Hyundai,UASR11,4,3,700,0,0,1.1,207
114,Hyundai,Cigar very bad,3,3,111,35,0,0.764,303
166,Hyundai,ODE,1,3,0,1732,313,0.71,619
167,Hyundai,Accent,3,1,1654,0,352,1.052,620
168,Hyundai,Accent,3,1,1876,0,368,1.06,621
169,Hyundai,Accent,4,1,1853,0,364,1.07,622
172,Hyundai,ODE,1,3,0,1885,337,0.713,635
197,Hyundai,Tucson,1,2,2650,0,0,3.71,587
198,Hyundai,Tucson,1,2,2556,0,0,3.8,611
210,Hyundai,Getz AE,1,3,0,2015,374,0.644,116
217,Hyundai,Accent,1,1,1461,,306,1.05,284
221,Hyundai,M3SH31,1,2,1997,280,464,1.26,84
222,Hyundai,JSH34,1,1,1041,24,220,1.18,85
223,Hyundai,HAA9,1,1,1048,25,221,0.89,86
315,Hyundai,filter bad,1,1,932,654,296,0.9,751
362,Hyundai,Getz AE,5,3,14,1715,317,0.654,186
129,Isuzu,Dmax small,1,1,6505,0,0,0.359,554
130,Isuzu,Dmax small,1,1,7722,0,0,0.301,666
131,Isuzu,Dmax small,1,1,8000,0,0,0.32,717
173,Isuzu,Filter,2,1,477,290,0,2.08,725
174,Isuzu,Good,1,2,4018,2997,2,0.956,776
175,Isuzu,Good,2,2,5816,1999,0,0.955,894
349,Isuzu,Dmax,1,2,1093,2717,242,1.23,261
350,Isuzu,Dmax,1,2,1208,2800,231,1.177,220
90,Isuzu ,Dmax mini,1,3,3417,0,0,0.38,301
295,Isuzu ,Good,2,2,5995,2075,0,0.938,900
29,KIA,Goat,1,1,0,6790,261,0.639,379
30,KIA,Goat,1,1,62,7662,194,0.628,348
56,KIA,UD9511,1,2,2403,0,0,1.11,688
58,KIA,LE42 ,2,2,1542,765,2,1.741,839
59,KIA,LE42 ,4,2,1717,834,0,1.81,856
123,KIA,MCD,5,1,0,3280,637,0.828,189
125,KIA,RDH11,1,1,0,2550,451,1.01,735
126,KIA,SDH11,1,1,0,4238,744,1.02,730
127,KIA,RDH11,1,1,0,2362,447,1.025,538
128,KIA,SDH01,1,1,0,3439,692,1.029,924
139,KIA,manifold no writing ,3,1,0,7675,240,0.54,583
140,KIA,manifold no writing ,3,1,0,7320,234,0.52,605
141,KIA,manifold W2BEF5,1,3,0,3772,301,0.4,584
147,KIA,two sensor,4,1,0,4800,183,0.65,432
148,KIA,one sensors,4,1,7,5055,171,0.6465,433
149,KIA,Bronze 2JB6D ,3,3,0,720,50,0.91,434
150,KIA,Silver UDJB10,2,1,2912,0,0,0.718,435
151,KIA,JSH21,1,1,0,11325,0,0.285,740
152,KIA,JSH23,1,1,0,10872,0,0.294,741
158,KIA,cubic pre 3 lines,3,1,6120,0,0,0.4,516
249,Kia,silver cyl. no cover,1,3,733,0,0,1.23,570
256,KIA,cast manifold,1,1,0,8075,373,0.32,577
257,KIA,cast manifold,1,1,0,11038,0,0.29,578
259,KIA,cast manifold,1,1,0,3811,464,0.28,580
260,KIA,cast manifold,1,1,0,11095,0,0.295,581
297,Kia,cast I30,1,1,13,4802,367,0.557,902
298,Kia,cast I30,2,1,10,4693,366,0.553,903
299,Kia,cast ,1,1,10,4339,367,0.533,904
303,KIA,small w/ half cover 2EBA0,1,3,3,1394,156,0.58,881
316,kia,long cigar,1,2,2943,5,0,1.72,754
390,KIA,Filter =,1,2,2497,1353,0,1.962,648
392,KIA,cigar 2G900 ,4,2,0,8905,258,0.865,562
393,KIA,cigar 2G900 ,3,2,0,8772,268,0.873,473
426,KIA,Pre cube,3,1,6120,0,0,0.4,516
258,KIA ,cast manifold,1,1,0,7287,362,0.27,579
268,KIA ,UO14,1,1,3737,0,0,0.61,928
300,Kia ,"cast 2ECA0
",3,1,15,6391,295,0.548,905
301,Kia ,cast ,1,1,14,6240,238,0.402,906
302,KIA ,small w/ half cover 2EBA0,2,3,12,1522,165,0.55,907
98,Mazda,Fat erased,1,2,671,5480,236,1.391,157
106,Mazda,Cup,1,2,1113,3560,573,0.889,205
111,Mazda,Cup,1,2,1053,3072.5,526.5,0.8936,75
119,Mazda,Fat,4,2,650,4355,178,1.36,197
124,Mazda,Fat erased,1,2,1874,49,425,1.1993,190
135,Mazda,MPV,1,1,1307,0,274,1.39,246
136,Mazda,Cigar bad ,5,1,1179,29,259,0.95,244
137,Mazda,Cigar good ,4,1,126,3620,554,0.94,245
138,Mazda,MPV,3,1,1307,24,271,0.94,300
153,Mazda,6 new,1,2,190,4522,615,1.098,509
154,Mazda,6 new,1,2,472,3785,399,1.2,510
209,Mazda,Cigar bad ,1,1,1291,39,283,0.93,115
214,Mazda,Cup w/o casing ,5,2,1113,2817,587,0.91,281
216,Mazda,Cup small,2,2,2129,38,479,0.768,283
287,Mazda,Toyota-like half shields both ends,2,3,97,0,185,0.496,915
289,Mazda,Toyota-like half shields both ends,1,3,94,0,178,0.504,917
291,Mazda,6 manifold web,1,3,14,1996,599,0.507,896
335,Mazda,5 no manifold,2,3,567,17,227,0.714,451
336,Mazda,3  manifold sensor,3,1,99,4095,247,0.683,452
337,Mazda,3 manifold w/o sensor,4,3,148,1655,368,0.619,453
339,Mazda,5 no manifold,1,3,633,0,214,0.734,69
92,Mazda ,5 manifold,1,3,112,3097,220,0.54,304
320,Mazda ,Sedan small,1,3,1524,0,301,0.919,877
388,Mazda ,6 good,1,2,1168,4205,473,1.428,194
389,Mazda ,6 good,2,2,958,4195,415,1.4,329
414,Mazda ,2,1,3,349,911,291,0.646,353
415,Mazda ,2,3,3,250,788,258,0.649,394
1,Mazda  ,Sedan flat,10,1,1868,17,376,0.914,296
2,Mazda  ,Sedan flat,1,1,1800,34,373,0.926,112
19,Mazda  ,Small ,10,1,420,3550,618,0.609,154
20,Mazda  ,Small,1,1,1343,20,283,0.557,44
54,Mazda  ,Sedan Big,1,1,1697,0,368,1.286,254
55,Mazda  ,Sedan Big,1,1,1557,31,287,1.22,96
87,Mazda  ,3  manifold sensor,1,1,173,3960,276,0.689,209
89,Mazda  ,3  manifold sensor,1,1,122,4060,246,0.668,38
66,Mercedes,Round best,1,2,5515,0,0,1.0081,139
67,Mercedes,Round small,1,2,4013,0,0,1.0394,137
97,Mercedes,large flat,1,2,1509,0,329,1.5,156
117,Mercedes,Flat big holes,1,1,1166,5,0,0.997,195
121,Mercedes,Flat big holes,1,1,1338,21,0,1,63
232,Mercedes,Large Round,1,2,3700,0,0,1.32,107
235,Mercedes,Large Round,1,2,3086,0,0,1.478,110
240,Mercedes,Small 3 stripes,1,1,3308,0,0,0.588,549
245,Mercedes,sensor in middle bad,1,3,91,850,436,0.86,566
251,Mercedes,Filter Big 535/492,1,2,1249,0,0,3.882,572
261,Mercedes, sensor in middle good,1,2,6040,0,0,1.02,559
365,Mercedes,S-250,1,2,3230,34,0,1.21,56
438,Mercedes,V,1,1,0,2000,429,0.959,363
440,Mercedes,long cigar,1,2,135,3447,195,1.57,343
264,Mercedes ,Filter KT 6044,1,2,6144,3096,0,0.627,926
266,Mercedes ,Filter KT 1247,1,2,2598,1063,0,2.597,927
272,Mercedes ,Filter KT 6043,1,2,1280,644,0,2.425,931
285,Mercedes ,filter KT 1247,1,2,2433,1203,0,2.76,913
95,Mitsubishi,Magnum,6,2,2492,0,26,1.735,307
142,Mitsubishi,Filter,1,2,796,13,0,3.21,485
162,Mitsubishi,Lancer,8,3,587,746,231,1.033,233
163,Mitsubishi,ears,1,3,582,608,237,1.144,232
185,Mitsubishi,Magnum,1,2,1232,28,255,1.712,176
186,Mitsubishi,Magnum,1,2,2578,0,0,1.68,221
187,Mitsubishi,Magnum,1,2,2217,0,0,1.926,582
211,Mitsubishi,Lancer small,1,3,1450,20,300,0.51,113
213,Mitsubishi,Lancer small,5,3,720,18,289,0.579,287
243,Mitsubishi,Hunter,2,2,4005,0,0,0.89,564
328,Mitsubishi,Pre manifold silver,5,3,1116,2525,654,0.35,315
352,Mitsubishi,Hunter,1,2,5722,0,0,0.919,479
353,Mitsubishi,Hunter,1,2,2612,0,0,0.94,604
387,Mitsubishi,SJ,1,1,159,4077,532,0.867,571
3,Mitsubishi ,Lancer,10,3,677,817,250,1.036,117
21,Mitsubishi ,Charisma,1,1,780,724,308,1.18,51
22,Mitsubishi ,Charisma ,5,1,711,748,294,1.19,474
38,Mitsubishi ,King,1,2,2188,23,0,2.99,87
250,Mitsubishi ,SJ Round Full,1,1,159,4077,532,0.867,571
44,Nissan ,Cast Iron med.,5,3,0,1838,405,0.5096,148
48,Nissan ,X5,1,2,1709,0,330,1.239,160
143,Nissan ,Filter,1,2,1197,11,0,2.6,484
144,Nissan ,Filter,1,2,1152,0,0,2.59,533
164,Nissan ,X2,1,2,1471,6,360,1.67,351
196,Nissan ,Navarro,1,2,5122,7,0,1.4,488
322,Nissan ,Cast Iron small,2,3,1125,34,230,0.43,312
323,Nissan ,X3 small,2,1,1518,41,337,0.813,323
324,Nissan ,X3 big,2,1,1840,37,305,0.915,324
418,Nissan ,Tiida Front,2,1,15,6440,552,0.43,272
419,Nissan ,Tiida back w/cover,3,3,1828,0,367,0.467,779
420,Nissan ,Tiida back w/cover,1,3,1142,0,226,0.445,644
421,Nissan ,Tiida back w/cover,2,3,1783,15,391,0.476,507
263,Opel ,Tri Med. GM67  ,2,2,3138,0,0,0.948,925
276,Opel ,Tri Med. GM15 AC,1,2,2156,11,414,1.083,922
296,Opel ,Tri Big GM32,1,2,3046,0,0,1.437,901
207,Opel ,Corsa,3,1,2519,0,609,0.82,527
208,Opel ,Corsa fat,1,2,11,5730,440,0.91,528
332,Opel ,Astra,4,5,1980,0,325,0.81,437
333,Opel ,Astra,1,5,2152,0,346,0.7348,83
351,Opel ,HF,2,2,1809,2755,277,1.147,174
354,Opel ,Tri Big AC,6,2,1272,929,93,1.5,713
360,Opel ,Tri Big AC,1,2,1630,0,0,1.367,147
361,Opel ,Tri Big AC,3,2,1942,0,0,1.376,367
11,Peugeot,Large Silver,1,1,0,2022,373,0.934,93
12,Peugeot,Large Silver,1,1,0,1888,466,0.925,252
49,Peugeot,Upright,5,1,1649,0,337,0.7616,140
50,Peugeot,Upright,1,1,1658,42,310,0.8055,131
57,Peugeot,Cast Iron angle,1,3,0,1864,435,0.496,760
102,Peugeot,Flat,5,1,221,6780,238,0.791,169
118,Peugeot,Flat,3,1,314,1380,272,0.901,196
122,Peugeot,Flat,1,1,1700,10,348,0.788,5
145,Peugeot,brick,1,1,72,2910,417,1.15,65
146,Peugeot,brick,5,1,1226,1270,420,1.07,278
215,Peugeot,Wide pass ,4,1,960,268,287,0.963,282
220,Peugeot,Wide pass ,1,1,1468.5,0,307.5,0.916,76
344,Peugeot,cigar w/curved ends,3,1,24,2060,306,0.95,778
372,Peugeot,Cigar S 778,3,1,24,2060,306,0.95,778
373,Peugeot,like 306,5,3,277,1862,340,0.85,309
375,Peugeot,like berlingo,5,1,369,1754,337,0.763,198
386,Peugeot,Silver small,1,3,11,1619,322,0.808,224
395,Peugeot,Manifold ///,3,3,0,6930,530,0.254,692
404,Peugeot,106,3,1,1569,245,378,0.956,293
411,Peugeot,306,1,1,1430,0,293,0.81,30
412,Peugeot,306,1,1,1830,32,350,0.74,64
428,Peugeot,418 fat cigar,2,2,0,2755,308,1.45,418
104,Peugeot ,flat w/ grate,1,1,0,2570,345,0.804,203
429,Peugeot ,415 fat cigar,1,2,0,2692,268,1.392,415
23,Renault,Big 3 stripes,1,1,42,2005,409,1.105,211
24,Renault,Big 3 stripes,2,1,0,1962,325,1.16,599
33,Renault,Clio,1,1,1691,0,367,0.83,22
39,Renault,Megane Round,1,1,393,1297,401,1.108,28
40,Renault,Megane Round,5,1,0,3935,395,1.143,292
61,Renault,Fluence C561,1,2,3760,1857,0,0.711,908
61,Renault,Fluence Carbide,1,,58,76,0,2.557,908
72,Renault,Clio,4,1,1610,50,352,0.85,241
75,Renault,Megane Old,1,1,0,2367,330,1.013,20
100,Renault,Express,5,1,1464,0,292,1.071,159
157,Renault,Megane Round,3,1,241,1327,332,1.023,513
189,Renault,Megane Flat,1,1,0,2590,350,1.2457,89
190,Renault,Megane Flat,5,1,66,1977,320,1.21,280
191,Renault,Megane Flat,5,1,512,1290,307,1.285,387
192,Renault,Megane Flat small part,5,1,957,6670,426,0.24,706
193,Renault,Megane Flat,3,1,0,2072,300,1.25,720
194,Renault,V. Big Round S,1,2,3720,0,0,1.55,677
202,Renault,Clio,2,1,1610,50,352,0.85,241
206,Renault,Kangoo,1,3,546,0,0,0.73,7
262,Renault,?Beak,1,1,0,1977,342,0.83,560
435,Renault,Megane Old,4,1,0,1816,334,1,240
441,Renault,Megan Round small,2,1,0,1222,276,1.033,494
445,Renault,Megan Round no beak,2,1,202,2167,343,0.95,707
254,Renault ,? beak,2,1,1262,1258,293,0.89,575
281,Renault ,filter,1,2,2486,2438,0,0.916,911
279,"Renault 
",Fluence 20802662R ,1,2,4164,2024,0,0.724,910
416,Rover,Cross,1,1,0,2430,295,0.91,266
417,Rover,Cross,2,1,0,2250,317,0.92,13
379,Seat,Ibiza,1,3,1420,0,264,0.83,102
413,Seat,Cordoba,1,1,0,4245,284,1.179,98
317,Sevel,round w/bars bad,1,1,1270,0,0,1.365,755
93,Sevel ,Round big,2,2,4257,17,0,1.5,305
84,Skoda ,Octavia,5,2,2482,18,0,1.44,249
85,Skoda ,Fabia,5,2,2833,13,0,1.08,250
115,Skoda ,SF,1,3,0,1233,209,0.8984,124
116,Skoda ,SF,1,3,0,1175,184,0.87,19
231,Skoda ,Fabia,1,2,4515,0,0,0.871,106
318,Skoda ,new-oval,5,1,3200,0,0,0.676,285
338,Skoda ,Fabia,3,2,4643,19,0,0.924,454
355,Skoda ,Fabia Long,2,2,0,2402,302,1.5,702
358,Skoda ,Benzene,5,1,0,4340,293,0.765,318
359,Skoda ,Benzene,5,1,0,4020,309,0.766,360
363,Skoda ,Fabia Long,4,2,0,3415,247,1.225,455
364,Skoda ,Benzene,4,1,0,3650,330,0.74,631
446,Skoda ,Benzene new,1,1,0,2023,178,0.884,802
447,Skoda ,Benzene new,1,1,0,2552,185,0.869,808
448,Skoda ,Benzene new,2,1,7,2481,182,0.861,857
330,Steel,Big ,1,6,,,,,
331,Steel,Small,1,6,,,,,
